Player,Player,Salary,Season
Quincy Acy,Quincy Acy,"$665,000",2012-13
Quincy Acy,Quincy Acy,"$788,872",2013-14
Quincy Acy,Quincy Acy,"$915,243",2014-15
Jordan Adams,Jordan Adams,"$1,344,120",2014-15
Steven Adams,Steven Adams,"$2,090,880",2013-14
Steven Adams,Steven Adams,"$2,184,960",2014-15
Jeff Adrien,Jeff Adrien,"$342,666",2010-11
Jeff Adrien,Jeff Adrien,"$270,427",2011-12
Jeff Adrien,Jeff Adrien,"$804,131",2012-13
Jeff Adrien,Jeff Adrien,"$916,099",2013-14
Jeff Adrien,Jeff Adrien,"$981,084",2014-15
Arron Afflalo,Arron Afflalo,"$944,520",2007-08
Arron Afflalo,Arron Afflalo,"$1,015,440",2008-09
Arron Afflalo,Arron Afflalo,"$1,086,240",2009-10
Arron Afflalo,Arron Afflalo,"$1,959,577",2010-11
Arron Afflalo,Arron Afflalo,"$7,562,500",2011-12
Arron Afflalo,Arron Afflalo,"$7,750,000",2012-13
Arron Afflalo,Arron Afflalo,"$7,312,500",2013-14
Arron Afflalo,Arron Afflalo,"$7,750,000",2014-15
Alexis Ajinca,Alexis Ajinca,"$1,276,320",2008-09
Alexis Ajinca,Alexis Ajinca,"$1,372,080",2009-10
Alexis Ajinca,Alexis Ajinca,"$1,467,840",2010-11
Alexis Ajinca,Alexis Ajinca,"$981,084",2014-15
Josh Akognon,Josh Akognon,"$788,872",2013-14
Solomon Alabi,Solomon Alabi,"$770,000",2010-11
Solomon Alabi,Solomon Alabi,"$830,000",2011-12
Furkan Aldemir,Furkan Aldemir,"$3,000,000",2014-15
Cole Aldrich,Cole Aldrich,"$2,126,520",2010-11
Cole Aldrich,Cole Aldrich,"$2,286,000",2011-12
Cole Aldrich,Cole Aldrich,"$2,445,480",2012-13
Cole Aldrich,Cole Aldrich,"$981,084",2014-15
LaMarcus Aldridge,LaMarcus Aldridge,"$4,027,320",2006-07
LaMarcus Aldridge,LaMarcus Aldridge,"$4,329,360",2007-08
LaMarcus Aldridge,LaMarcus Aldridge,"$4,631,400",2008-09
LaMarcus Aldridge,LaMarcus Aldridge,"$5,844,827",2009-10
LaMarcus Aldridge,LaMarcus Aldridge,"$11,244,000",2010-11
LaMarcus Aldridge,LaMarcus Aldridge,"$12,372,000",2011-12
LaMarcus Aldridge,LaMarcus Aldridge,"$13,500,000",2012-13
LaMarcus Aldridge,LaMarcus Aldridge,"$14,128,000",2013-14
LaMarcus Aldridge,LaMarcus Aldridge,"$16,006,000",2014-15
Lavoy Allen,Lavoy Allen,"$473,604",2011-12
Lavoy Allen,Lavoy Allen,"$3,000,000",2012-13
Lavoy Allen,Lavoy Allen,"$3,060,000",2013-14
Lavoy Allen,Lavoy Allen,"$948,163",2014-15
Tony Allen,Tony Allen,"$901,920",2004-05
Tony Allen,Tony Allen,"$969,696",2005-06
Tony Allen,Tony Allen,"$1,037,280",2006-07
Tony Allen,Tony Allen,"$1,868,141",2007-08
Tony Allen,Tony Allen,"$2,500,000",2008-09
Tony Allen,Tony Allen,"$2,500,000",2009-10
Tony Allen,Tony Allen,"$3,000,000",2010-11
Tony Allen,Tony Allen,"$3,150,000",2011-12
Tony Allen,Tony Allen,"$3,300,000",2012-13
Tony Allen,Tony Allen,"$4,494,382",2013-14
Tony Allen,Tony Allen,"$4,831,461",2014-15
Al-Farouq Aminu,Al-Farouq Aminu,"$2,563,320",2010-11
Al-Farouq Aminu,Al-Farouq Aminu,"$2,755,560",2011-12
Al-Farouq Aminu,Al-Farouq Aminu,"$2,947,800",2012-13
Al-Farouq Aminu,Al-Farouq Aminu,"$3,700,000",2013-14
Al-Farouq Aminu,Al-Farouq Aminu,"$981,084",2014-15
Lou Amundson,Lou Amundson,"$105,696",2006-07
Lou Amundson,Lou Amundson,"$75,000",2006-07
Lou Amundson,Lou Amundson,"$35,232",2006-07
Lou Amundson,Lou Amundson,"$687,456",2007-08
Lou Amundson,Lou Amundson,"$797,581",2008-09
Lou Amundson,Lou Amundson,"$855,189",2009-10
Lou Amundson,Lou Amundson,"$2,225,000",2010-11
Lou Amundson,Lou Amundson,"$2,403,000",2011-12
Lou Amundson,Lou Amundson,"$1,069,509",2012-13
Lou Amundson,Lou Amundson,"$409,167",2014-15
Chris Andersen,Chris Andersen,"$288,171",2001-02
Chris Andersen,Chris Andersen,"$512,435",2002-03
Chris Andersen,Chris Andersen,"$638,679",2003-04
Chris Andersen,Chris Andersen,"$1,600,000",2004-05
Chris Andersen,Chris Andersen,"$3,500,000",2005-06
Chris Andersen,Chris Andersen,"$998,398",2008-09
Chris Andersen,Chris Andersen,"$3,650,000",2009-10
Chris Andersen,Chris Andersen,"$4,533,300",2010-11
Chris Andersen,Chris Andersen,"$4,234,000",2011-12
Chris Andersen,Chris Andersen,"$4,526,000",2012-13
Chris Andersen,Chris Andersen,"$699,952",2012-13
Chris Andersen,Chris Andersen,"$1,399,507",2013-14
Chris Andersen,Chris Andersen,"$5,375,000",2014-15
Alan Anderson,Alan Anderson,"$398,762",2005-06
Alan Anderson,Alan Anderson,"$102,131",2006-07
Alan Anderson,Alan Anderson,"$885,120",2012-13
Alan Anderson,Alan Anderson,"$947,907",2013-14
Alan Anderson,Alan Anderson,"$1,276,061",2014-15
James Anderson,James Anderson,"$1,361,400",2010-11
James Anderson,James Anderson,"$1,463,520",2011-12
James Anderson,James Anderson,"$472,427",2012-13
James Anderson,James Anderson,"$145,749",2012-13
James Anderson,James Anderson,"$916,099",2013-14
Kyle Anderson,Kyle Anderson,"$1,093,680",2014-15
Ryan Anderson,Ryan Anderson,"$1,225,200",2008-09
Ryan Anderson,Ryan Anderson,"$1,317,120",2009-10
Ryan Anderson,Ryan Anderson,"$1,409,040",2010-11
Ryan Anderson,Ryan Anderson,"$2,244,601",2011-12
Ryan Anderson,Ryan Anderson,"$8,700,000",2012-13
Ryan Anderson,Ryan Anderson,"$8,308,500",2013-14
Ryan Anderson,Ryan Anderson,"$8,491,500",2014-15
Giannis Antetokounmpo,Giannis Antetokounmpo,"$1,792,560",2013-14
Giannis Antetokounmpo,Giannis Antetokounmpo,"$1,873,200",2014-15
Carmelo Anthony,Carmelo Anthony,"$3,229,200",2003-04
Carmelo Anthony,Carmelo Anthony,"$3,471,360",2004-05
Carmelo Anthony,Carmelo Anthony,"$3,713,640",2005-06
Carmelo Anthony,Carmelo Anthony,"$4,694,041",2006-07
Carmelo Anthony,Carmelo Anthony,"$13,041,250",2007-08
Carmelo Anthony,Carmelo Anthony,"$14,410,581",2008-09
Carmelo Anthony,Carmelo Anthony,"$15,779,912",2009-10
Carmelo Anthony,Carmelo Anthony,"$17,149,243",2010-11
Carmelo Anthony,Carmelo Anthony,"$18,518,574",2011-12
Carmelo Anthony,Carmelo Anthony,"$19,450,000",2012-13
Carmelo Anthony,Carmelo Anthony,"$22,407,474",2013-14
Carmelo Anthony,Carmelo Anthony,"$22,458,000",2014-15
Joel Anthony,Joel Anthony,"$427,163",2007-08
Joel Anthony,Joel Anthony,"$711,517",2008-09
Joel Anthony,Joel Anthony,"$825,497",2009-10
Joel Anthony,Joel Anthony,"$3,300,000",2010-11
Joel Anthony,Joel Anthony,"$3,600,000",2011-12
Joel Anthony,Joel Anthony,"$3,750,000",2012-13
Joel Anthony,Joel Anthony,"$3,800,000",2013-14
Joel Anthony,Joel Anthony,"$3,800,000",2014-15
Pero Antic,Pero Antic,"$1,250,000",2014-15
Trevor Ariza,Trevor Ariza,"$385,277",2004-05
Trevor Ariza,Trevor Ariza,"$682,051",2005-06
Trevor Ariza,Trevor Ariza,"$3,100,000",2006-07
Trevor Ariza,Trevor Ariza,"$3,100,000",2007-08
Trevor Ariza,Trevor Ariza,"$3,100,000",2008-09
Trevor Ariza,Trevor Ariza,"$5,854,000",2009-10
Trevor Ariza,Trevor Ariza,"$6,322,320",2010-11
