Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
Quincy Acy,41,.562,73,1,.500,2,11,22,15,47,42,.560,75,31,.816,38,29,0,NBA,342,30,53,116,Quincy Acy,PF,13,2012-13,17,77,TOR,.567
Quincy Acy,62,.492,126,4,.267,15,28,23,26,144,66,.468,141,35,.660,53,63,0,NBA,847,72,122,171,Quincy Acy,SF,23,2013-14,30,216,TOT,.482
Quincy Acy,4,.444,9,2,.400,5,4,23,3,10,6,.429,14,5,.625,8,7,0,NBA,61,5,8,19,Quincy Acy,SF,4,2013-14,2,15,TOR,.500
Quincy Acy,58,.496,117,2,.200,10,24,23,23,134,60,.472,127,30,.667,45,56,0,NBA,786,67,114,152,Quincy Acy,SF,19,2013-14,28,201,SAC,.480
Quincy Acy,134,.494,271,18,.300,60,68,24,22,222,152,.459,331,76,.784,97,68,22,NBA,1287,79,147,398,Quincy Acy,PF,27,2014-15,60,301,NYK,.486
Quincy Acy,8,.471,17,2,.500,4,6,25,2,13,10,.476,21,3,.500,6,11,2,NBA,112,7,14,25,Quincy Acy,PF,3,2015-16,4,20,SAC,.524
Jordan Adams,25,.410,61,10,.400,25,16,20,7,19,35,.407,86,14,.609,23,30,0,NBA,248,9,24,94,Jordan Adams,SG,16,2014-15,14,28,MEM,.465
Jordan Adams,2,.400,5,0,.000,1,3,21,0,2,2,.333,6,3,.600,5,2,0,NBA,15,0,2,7,Jordan Adams,SG,3,2015-16,2,2,MEM,.333
Steven Adams,93,.503,185,0,NA,0,43,20,57,190,93,.503,185,79,.581,136,81,20,NBA,1197,142,203,265,Steven Adams,C,40,2013-14,71,332,OKC,.503
Steven Adams,217,.547,397,0,.000,2,66,21,86,324,217,.544,399,103,.502,205,70,67,NBA,1771,199,222,537,Steven Adams,C,38,2014-15,99,523,OKC,.544
Steven Adams,48,.571,84,0,NA,0,17,22,30,71,48,.571,84,23,.575,40,20,20,NBA,473,46,59,119,Steven Adams,C,7,2015-16,15,117,OKC,.571
Jeff Adrien,23,.426,54,0,NA,0,10,24,5,35,23,.426,54,11,.579,19,23,0,NBA,196,23,28,57,Jeff Adrien,PF,4,2010-11,9,58,GSW,.426
Jeff Adrien,7,.438,16,0,NA,0,1,25,2,17,7,.438,16,7,.583,12,8,0,NBA,63,5,13,21,Jeff Adrien,PF,0,2011-12,2,22,HOU,.438
Jeff Adrien,72,.434,166,0,.000,2,36,26,27,128,72,.429,168,65,.650,100,52,5,NBA,713,68,80,209,Jeff Adrien,PF,18,2012-13,32,196,CHA,.429
Jeff Adrien,143,.520,275,0,NA,0,38,27,36,204,143,.520,275,76,.639,119,53,12,NBA,961,102,108,362,Jeff Adrien,PF,24,2013-14,39,306,TOT,.520
Jeff Adrien,22,.550,40,0,NA,0,7,27,15,55,22,.550,40,13,.520,25,25,0,NBA,256,33,35,57,Jeff Adrien,PF,7,2013-14,8,88,CHA,.550
