Player,Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player.1_x,Pos,STL,Season,TOV,TRB,Tm,eFG%,Player.1_y,Salary
Quincy Acy,Quincy Acy,41,.562,73,1,.500,2,11.0,22.0,15.0,47.0,42,.560,75,31.0,0.816,38.0,29,0,NBA,342,30.0,53.0,116.0,Quincy Acy,PF,13.0,2012-13,17.0,77.0,TOR,0.567,Quincy Acy,665000
Quincy Acy,Quincy Acy,62,.492,126,4,.267,15,28.0,23.0,26.0,144.0,66,.468,141,35.0,0.66,53.0,63,0,NBA,847,72.0,122.0,171.0,Quincy Acy,SF,23.0,2013-14,30.0,216.0,TOT,0.482,Quincy Acy,788872
Quincy Acy,Quincy Acy,4,.444,9,2,.400,5,4.0,23.0,3.0,10.0,6,.429,14,5.0,0.625,8.0,7,0,NBA,61,5.0,8.0,19.0,Quincy Acy,SF,4.0,2013-14,2.0,15.0,TOR,0.5,Quincy Acy,788872
Quincy Acy,Quincy Acy,58,.496,117,2,.200,10,24.0,23.0,23.0,134.0,60,.472,127,30.0,0.667,45.0,56,0,NBA,786,67.0,114.0,152.0,Quincy Acy,SF,19.0,2013-14,28.0,201.0,SAC,0.48,Quincy Acy,788872
Quincy Acy,Quincy Acy,134,.494,271,18,.300,60,68.0,24.0,22.0,222.0,152,.459,331,76.0,0.784,97.0,68,22,NBA,1287,79.0,147.0,398.0,Quincy Acy,PF,27.0,2014-15,60.0,301.0,NYK,0.486,Quincy Acy,915243
Jordan Adams,Jordan Adams,25,.410,61,10,.400,25,16.0,20.0,7.0,19.0,35,.407,86,14.0,0.609,23.0,30,0,NBA,248,9.0,24.0,94.0,Jordan Adams,SG,16.0,2014-15,14.0,28.0,MEM,0.465,Jordan Adams,1344120
Steven Adams,Steven Adams,93,.503,185,0,,0,43.0,20.0,57.0,190.0,93,.503,185,79.0,0.581,136.0,81,20,NBA,1197,142.0,203.0,265.0,Steven Adams,C,40.0,2013-14,71.0,332.0,OKC,0.503,Steven Adams,2090880
Steven Adams,Steven Adams,217,.547,397,0,.000,2,66.0,21.0,86.0,324.0,217,.544,399,103.0,0.502,205.0,70,67,NBA,1771,199.0,222.0,537.0,Steven Adams,C,38.0,2014-15,99.0,523.0,OKC,0.544,Steven Adams,2184960
Jeff Adrien,Jeff Adrien,23,.426,54,0,,0,10.0,24.0,5.0,35.0,23,.426,54,11.0,0.579,19.0,23,0,NBA,196,23.0,28.0,57.0,Jeff Adrien,PF,4.0,2010-11,9.0,58.0,GSW,0.426,Jeff Adrien,342666
Jeff Adrien,Jeff Adrien,7,.438,16,0,,0,1.0,25.0,2.0,17.0,7,.438,16,7.0,0.583,12.0,8,0,NBA,63,5.0,13.0,21.0,Jeff Adrien,PF,0.0,2011-12,2.0,22.0,HOU,0.438,Jeff Adrien,270427
