Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
Robert Sacre,18,.375,48,0,NA,0,6,23,10,25,18,.375,48,7,.636,11,32,3,NBA,203,9,38,43,Robert Sacre,C,0,2012-13,10,34,LAL,.375
Robert Sacre,143,.477,300,0,NA,0,51,24,47,172,143,.477,300,64,.681,94,65,13,NBA,1089,82,134,350,Robert Sacre,C,24,2013-14,44,254,LAL,.477
Robert Sacre,126,.413,305,0,.000,1,55,25,43,144,126,.412,306,55,.671,82,67,18,NBA,1133,89,121,307,Robert Sacre,C,28,2014-15,36,233,LAL,.412
Robert Sacre,2,.222,9,0,NA,0,3,26,1,4,2,.222,9,3,.750,4,3,0,NBA,33,3,6,7,Robert Sacre,C,1,2015-16,3,7,LAL,.222
John Salmons,38,.447,85,10,.323,31,47,23,6,43,48,.414,116,26,.743,35,64,1,NBA,504,16,53,132,John Salmons,PG,17,2002-03,29,59,PHI,.457
John Salmons,111,.413,269,50,.340,147,134,24,16,158,161,.387,416,71,.772,92,77,24,NBA,1603,38,122,443,John Salmons,SG,62,2003-04,77,196,PHI,.447
John Salmons,54,.454,119,31,.341,91,114,25,13,109,85,.405,210,35,.729,48,58,8,NBA,993,12,92,236,John Salmons,SG,40,2004-05,51,121,PHI,.479
John Salmons,193,.445,434,26,.299,87,223,26,13,172,219,.420,521,155,.775,200,82,24,NBA,2059,48,178,619,John Salmons,SG,73,2005-06,125,220,PHI,.445
John Salmons,196,.484,405,40,.357,112,254,27,27,217,236,.456,517,159,.779,204,79,19,NBA,2135,47,177,671,John Salmons,SG,73,2006-07,119,264,SAC,.495
John Salmons,342,.504,679,39,.325,120,208,28,31,273,381,.477,799,214,.823,260,81,41,NBA,2517,76,171,1015,John Salmons,SG,93,2007-08,170,349,SAC,.501
John Salmons,390,.493,791,126,.417,302,249,29,24,274,516,.472,1093,288,.830,347,79,74,NBA,2959,59,182,1446,John Salmons,SF,83,2008-09,165,333,TOT,.530
